campaign_id,brand,campaign_name,platform,ad_format,objective,audience_segment,date,month,week,day_of_week,is_weekend,impressions,reach,frequency,spend,cpm,clicks,ctr,engagements,likes,comments,shares,saves,engagement_rate,video_views,video_views_25pct,video_views_50pct,video_views_75pct,video_views_100pct,vtr,conversions,revenue,cpc,cpa,cvr,roas
1000,NovaSkin,Summer Glow Launch,Meta,Carousel,Awareness,Retargeting — Cart Abandoners,2024-08-08,2024-08,2024-W31,Thursday,False,38736,27155,1.43,219.07,5.66,494,1.2753,502,325,27,76,72,1.296,0,0,0,0,0,0.0,3,269.81,0.44,73.02,0.6073,1.2316
1000,NovaSkin,Summer Glow Launch,Meta,Reels,Awareness,25-34 Male,2024-08-08,2024-08,2024-W31,Thursday,False,23167,15849,1.46,219.07,9.46,309,1.3338,753,465,38,131,80,3.2503,13333,18667,13333,10000,7333,57.5517,7,461.28,0.71,31.3,2.2654,2.1056
1000,NovaSkin,Summer Glow Launch,Meta,Carousel,Awareness,18-24 Female,2024-08-09,2024-08,2024-W31,Friday,False,36502,23979,1.52,219.07,6.0,215,0.589,1556,977,137,153,228,4.2628,0,0,0,0,0,0.0,3,243.68,1.02,73.02,1.3953,1.1123
1000,NovaSkin,Summer Glow Launch,Meta,Reels,Awareness,25-34 Female,2024-08-09,2024-08,2024-W31,Friday,False,15875,12896,1.23,219.06,13.8,316,1.9906,588,349,36,47,54,3.7039,6175,8645,6175,4631,3396,38.8976,0,0.0,0.69,0.0,0.0,0.0
1000,NovaSkin,Summer Glow Launch,Meta,Stories,Awareness,Retargeting — Cart Abandoners,2024-08-10,2024-08,2024-W31,Saturday,True,32540,20207,1.61,219.07,6.73,732,2.2495,1571,1020,143,168,166,4.8279,0,0,0,0,0,0.0,0,0.0,0.3,0.0,0.0,0.0
1000,NovaSkin,Summer Glow Launch,Meta,Single Image,Awareness,Retargeting — Cart Abandoners,2024-08-10,2024-08,2024-W31,Saturday,True,24360,18747,1.3,219.07,8.99,871,3.5755,303,186,15,27,16,1.2438,0,0,0,0,0,0.0,0,0.0,0.25,0.0,0.0,0.0
1000,NovaSkin,Summer Glow Launch,Meta,Carousel,Awareness,35-44 Mixed,2024-08-11,2024-08,2024-W32,Sunday,True,58480,44026,1.33,438.14,7.49,1121,1.9169,1792,1065,102,225,128,3.0643,0,0,0,0,0,0.0,27,2225.87,0.39,16.23,2.4086,5.0803
1000,NovaSkin,Summer Glow Launch,Meta,Carousel,Awareness,Interest — Beauty,2024-08-12,2024-08,2024-W32,Monday,False,62165,48486,1.28,438.14,7.05,62,0.0997,1954,1139,114,222,281,3.1432,0,0,0,0,0,0.0,0,0.0,7.07,0.0,0.0,0.0
1000,NovaSkin,Summer Glow Launch,Meta,Video,Awareness,25-34 Female,2024-08-13,2024-08,2024-W32,Tuesday,False,36200,29666,1.22,219.07,6.05,588,1.6243,904,543,85,133,93,2.4972,17948,25128,17948,13461,9871,49.5801,21,816.93,0.37,10.43,3.5714,3.7291
1000,NovaSkin,Summer Glow Launch,Meta,Single Image,Awareness,Interest — Fitness,2024-08-13,2024-08,2024-W32,Tuesday,False,22072,15029,1.47,219.07,9.93,177,0.8019,1044,658,58,170,85,4.73,0,0,0,0,0,0.0,5,468.0,1.24,43.81,2.8249,2.1363
